index,group,calories,lipids,carbohydrates,protein,name
1757,22,236,15,14,12,"HAMBURGUESA, ""CARLS JR SUPER STAR"" CON QUESO"
1758,22,260,19.5,16.5,16.5,"HAMBURGUESA, ""CARLS JR WESTERN BACON CHEESE BURGER"", 1/2 DE LIBRA"
1759,22,246,22.3,16.5,15.7,"HAMBURGUESA, ""CARLS JR WESTERN BACON CHEESE BURGER"", 1/3 DE LIBRA"
1760,22,304,23,17,17,"HAMBURGUESA, ""CARLS JR WESTERN BACON CHEESE BURGER"", DOBLE"
1761,22,300,30,14,14,"HAMBURGUESA, ""CARLS JR WESTERN BACON CHEESE BURGER"", SENCILLA"
1762,22,236,28,9,12,"HAMBURGUESA, ""CARLS JR, BIG"""
1763,22,287,17,18,15,"HAMBURGUESA, ""CARLS JR, THE BIG CARL"""
1764,22,311,13,20,19,"HAMBURGUESA, ""WENDY BACONATOR"", DOBLE."
1765,22,238,12,15,14,"HAMBURGUESA, ""WENDY DAVE´S"" DOBLE, CON QUESO"
1766,22,228,16,14,12,"HAMBURGUESA, ""WENDY DAVE´S"" SENCILLA,  CON QUESO"
1767,22,294,18,19,17,"HAMBURGUESA, ""WENDY DAVE´S"" SENCILLA, WENDY BACONATOR"
1768,22,253,10,17,17,"HAMBURGUESA, ""WENDY DAVE´S"" TRIPLE, CON QUESO"
1769,22,308,23.86,18.25,11.19,"HOT DOG, INDUSTRIALIZADO"
1770,22,196.86,16.24,11.79,7.3,"HOT DOG, PREPARACION ESTANDARIZADA"
1771,22,308,23.86,18.25,11.19,HOTDOG SENCILLO
1772,22,379.26,37.28,20.11,12.3,"NACHOS PREPARADOS CON QUESO Y CHILE, PREPARACION ESTANDARIZADA"
1773,22,244.12,12.98,14.52,14.13,"NUGGETS DE PESCADO, PREPARACION ESTANDARIZADA"
1774,22,248.82,18.24,13.9,11.02,NUGGETS DE POLLO PARA PREPARAR
1775,22,378.55,11.43,33.5,9.12,"NUGGETS DE POLLO, PREPARACION ESTANDARIZADA"
1776,22,146.76,23.84,4.41,2.31,"PAPAS A LA FRANCESA, INDUSTRIALIZADAS O DE CADENA DE RESTAURANTE"
1777,22,204.27,16.73,14.81,1.44,"PAPAS A LA FRANCESA, PREPARACION ESTANDARIZADA"
1778,22,244,25.38,10.9,11.02,PIZZA CARNE Y VEGETALES MASA REGULAR
1779,22,244,25.38,10.9,11.02,"PIZZA DE CARNE Y VEGETALES, REGULAR"
1780,22,282,31.98,11.91,11.74,"PIZZA DE PEPERONI, REGULAR"
1781,22,257,33.24,8.97,10.8,PIZZA DE QUESO DOMINO'S MASA CLASICA
1782,22,298,28.18,15.1,12.33,PIZZA DE QUESO DOMINO'S MASA CRUNCHY
1783,22,302,31.2,13.95,12.85,PIZZA DE QUESO MASA DELGADA
1784,22,271,33.17,10.54,10.81,PIZZA DE QUESO MASA GRUESA
1785,22,295,26.26,15.66,12.29,PIZZA DE QUESO PAPA JOHN'S MASA DELGADA
1786,22,260,32.74,9.25,11.53,PIZZA DE QUESO PAPA JOHN'S MASA ORIGINAL
1787,22,303,28.64,14.1,15.29,PIZZA DE QUESO PIZZA HUT MASA CRISPY
1788,22,271,31.22,10.89,11.93,PIZZA DE QUESO PIZZA HUT MASA DELGADA
1789,22,280,29.93,12.56,11.73,PIZZA DE QUESO PIZZA HUT MASA PAN
1790,22,280,30.62,12.35,11.5,"PIZZA DE SALCHICHA, REGULAR"
1791,22,265,33.48,9.83,10.76,PIZZA DE SARTEN DE QUESO DOMINO'S
1792,22,283,31.89,12.1,11.52,PIZZA DE SARTEN PEPPERONI DOMINO'S
1793,22,244,25.72,11.1,10.33,PIZZA EXTRAVAGANZZA DOMINO'S MASA CLASICA
1794,22,273,31.86,11.18,11.25,PIZZA PEPPERONI DOMINO'S MASA CLASICA
1795,22,287,31.84,12.58,11.49,PIZZA PEPPERONI MASA GRUESA
