index,group,calories,lipids,carbohydrates,protein,name
172,5,36.53,8.8,0.15,0.36,"ATOLE  DE CIRUELA SIN LECHE, PREPARACION ESTANDARIZADA"
173,5,83.6,11.53,2.93,2.87,"ATOLE  DE VAINILLA CON LECHE, PREPARACION ESTANDARIZADA"
174,5,85.21,16.33,1.49,1.99,"ATOLE (CUALQUIER TIPO), PREPARACION ESTANDARIZADA"
175,5,83.99,16.06,1.53,1.96,ATOLE (PROMEDIO)
176,5,29.18,6.71,0.31,0.8,"ATOLE AGRIO SIN LECHE, PREPARACION ESTANDARIZADA"
177,5,57.01,13.18,0.31,0.37,"ATOLE CHAMPURRADO SIN LECHE, PREPARACION ESTANDARIZADA"
178,5,173.31,35.89,2.86,2.1,ATOLE DE AGUA DE PINOLE
179,5,100.41,16.51,3.19,2.15,ATOLE DE AJONJOLI (CON LECHE)
180,5,78.02,14.65,2.06,0.96,ATOLE DE AJONJOLI (SIN LECHE)
181,5,147.02,31.03,1.51,2.09,"ATOLE DE ARROZ CON LECHE, PREPARACION ESTANDARIZADA"
182,5,34.36,8.39,0.04,0.28,"ATOLE DE ARROZ SIN LECHE, PREPARACION ESTANDARIZADA"
183,5,20.11,3.5,0.37,0.65,"ATOLE DE AVENA CON AGUA SIN AZUCAR, PREPARACION ESTANDARIZADA"
184,5,65.48,14.87,0.43,0.76,"ATOLE DE AVENA SIN LECHE, PREPARACION ESTANDARIZADA"
185,5,104.96,18.54,3,2.01,ATOLE DE CACAHUATE (SIN LECHE)
186,5,121.21,28.36,0.47,0.94,"ATOLE DE CAMOTE SIN LECHE, PREPARACION ESTANDARIZADA"
187,5,28.89,7.28,0,0.02,"ATOLE DE CAPULIN SIN LECHE, PREPARACION ESTANDARIZADA"
188,5,129.6,21.75,3.34,3.38,"ATOLE DE CHOCOLATE CON LECHE, PREPARACION ESTANDARIZADA"
189,5,84.9,21.62,0.16,0.48,"ATOLE DE CIRUELA PASA SIN LECHE, PREPARACION ESTANDARIZADA"
190,5,124.1,11.75,7.66,3.01,"ATOLE DE COCO CON LECHE, PREPARACION ESTANDARIZADA"
191,5,86.11,14.47,2.31,3,"ATOLE DE ELOTE CON CHILE Y LECHE, PREPARACION ESTANDARIZADA"
192,5,116.06,18.5,3.28,3.75,"ATOLE DE ELOTE SIN LECHE, PREPARACION ESTANDARIZADA"
193,5,88.86,13.03,2.87,2.82,"ATOLE DE FRESA CON LECHE, PREPARACION ESTANDARIZADA"
194,5,92.52,20.56,0.22,2.27,"ATOLE DE FRIJOL SIN LECHE, PREPARACION ESTANDARIZADA"
195,5,78.11,16.52,0.58,1.97,"ATOLE DE GARBANZO SIN LECHE, PREPARACION ESTANDARIZADA"
196,5,56.89,8.98,1.61,1.59,"ATOLE DE GUAYABA CON LECHE, PREPARACION ESTANDARIZADA"
197,5,179.81,42.61,0.7,1.83,"ATOLE DE JOBO (ATOLE BLANCO) SIN LECHE, PREPARACION ESTANDARIZADA"
198,5,89.14,13.88,2.71,2.68,"ATOLE DE LIMON CON LECHE, PREPARACION ESTANDARIZADA"
199,5,146.69,26.34,3.1,3.8,"ATOLE DE MAIZ CON LECHE, PREPARACION ESTANDARIZADA"
200,5,76.4,15.77,0.94,1.77,"ATOLE DE MAIZ SIN LECHE, PREPARACION ESTANDARIZADA"
201,5,80.29,11.78,2.6,2.55,"ATOLE DE MAIZENA CON LECHE, PREPARACION ESTANDARIZADA"
202,5,31.36,7.94,0,0,"ATOLE DE MAIZENA SIN LECHE, PREPARACION ESTANDARIZADA"
203,5,108.97,18.44,2.83,2.99,ATOLE DE MASA CON LECHE
204,5,21.07,5.26,0.04,0.08,ATOLE DE MASA SIN LECHE
205,5,81.39,19.58,0.19,0.34,"ATOLE DE MASA SIN LECHE, PREPARACION ESTANDARIZADA"
206,5,43.59,9.72,0.41,0.5,"ATOLE DE PINA CON LECHE, PREPARACION ESTANDARIZADA"
207,5,90.59,18.87,1.34,0.79,"ATOLE DULCE CON CHILE SIN LECHE, PREPARACION ESTANDARIZADA"
208,5,71,12.6,1.38,1.98,BEBIDA DE CAFE  INDUSTRIALIZADA
209,5,85.43,16.13,2.02,0.74,"BEBIDA DE CHOCOLATE CON AGUA (SIN MASA, NI MAICENA), PREPARACION ESTANDARIZADA"
210,5,27.97,5.44,0.41,0.61,"BEBIDA DE SOYA ENDULZADA (TIPO ADES), INDUSTRIALIZADA"
211,5,45.68,11.42,0,0,"BEBIDA EMBOTELLADA SABOR NARANJA Y TORONJA (NO JUGO), SIN GAS"
212,5,37.42,9.36,0,0,"BEBIDA EMBOTELLADA SABOR UVA (NO JUGO), SIN GAS"
213,5,43.1,10.65,0.02,0.07,"BEBIDA ENERGETICA (TIPO RED BULL, BOOST, MONSTER)"
214,5,22.5,5.62,0,0,"BEBIDA REHIDRATANTE (GATORADE, POWERADE)"
215,5,40.4,10.4,0,0.02,BEBIDAS O AGUAS DE SABOR CON AZUCAR ADICIONADA (INDUSTRIALIZADAS)
216,5,0,0,0,0,BEBIDAS O AGUAS DE SABOR SIN AZUCAR ADICIONADA
217,5,49.26,8.06,1.4,1.52,"CAFE CAPUCCINO, PREPARACION ESTANDARIZADA"
218,5,22.5,5.23,0.01,0.35,CAFE CON AZUCAR
219,5,394.45,68.5,9.05,9.75,"CAFE CON AZUCAR, EN POLVO"
220,5,50.8,8.28,1.39,1.48,"CAFE CON LECHE CON AZUCAR, PREPARACION ESTANDARIZADA"
221,5,33.33,3.19,1.55,1.65,"CAFE CON LECHE SIN AZUCAR, PREPARACION ESTANDARIZADA"
222,5,0,0,0,0.1,"CAFE DE GRANO DESCAFEINADO, PREPARADO CON AGUA"
223,5,226,63.4,14.8,12.6,CAFE DE GRANO EN POLVO
224,5,2,0.34,0,0.1,"CAFE DILUIDO SIN AZUCAR, INDUSTRIALIZADO"
225,5,7.2,1.54,0.01,0.25,"CAFE DILUIDO SIN AZUCAR, PREPARACION ESTANDARIZADA"
226,5,295.15,64.53,2.15,12.91,"CAFE ENRIQUECIDO, EN POLVO"
227,5,286.22,61.14,0.41,9.89,"CAFE EXPRESSO, PREPARACION ESTANDARIZADA"
228,5,67,13.4,0.93,1.53,"CAFE FRAPPE (MOKA, CAPUCCINO, C/ CHANTILLI, ETC.), PREPARACION ESTANDARIZADA"
229,5,2,0.43,0,0.12,"CAFE INSTANTANEO DESCAFEINADO, PREPARADO CON AGUA"
230,5,353,75.4,0.5,12.2,"CAFE INSTANTANEO, EN POLVO (TIPO NESCAFE CLASICO)"
231,5,10.69,2.63,0,0.1,"CAFE O TE CON AZUCAR, PREPARACION ESTANDARIZADA"
232,5,15,3.67,0.01,0.12,CAFE PROMEDIO (CON AZUCAR Y SIN AZUCAR)
233,5,41,10.6,0,0,CERVEZA DE RAIZ (SIN ALCOHOL)
234,5,94.13,11.05,2.78,2.73,"ESQUIMO CASERO (TODOS SABORES), PREPARACION ESTANDARIZADA"
235,5,55.67,5.67,3,1.92,"FORMULA LACTEA ENTERA (TIPO NUTRILECHE), FLUIDA"
236,5,100,13.38,4.58,2.5,"FRAPE DE FRUTAS CON LECHE, HELADO O YOGURT (SMOOTHIE), INDUSTRIALIZADO"
237,5,45.44,9.39,0.55,0.94,"FRAPPE DE FRUTAS, SIN LECHE (TODOS SABORES), INDUSTRIALIZADO"
238,5,61.43,10.2,1.92,1.1,"FRAPUCCINO (PROMEDIO), PREPARACI�N ESTANDARIZADA"
239,5,60.43,11.15,1.39,1.1,"FRAPUCCINO C/CHOCOLATE LECHE LIGHT, PREPARACION ESTANDARIZADA"
240,5,68.24,11.22,2.18,1.19,"FRAPUCCINO C/CHOCOLATE REGULAR, PREPARACION ESTANDARIZADA"
241,5,54.15,9.17,1.62,1.01,"FRAPUCCINO DE CAF� C/LECHE LIGHT, PREPARACION ESTANDARIZADA"
242,5,62.89,9.25,2.5,1.11,"FRAPUCCINO DE CAF� REGULAR, PREPARACION ESTANDARIZADA"
243,5,0,0,0,0,HIELO EN CUBOS
244,5,289.1,58.22,2.96,1.51,JARABES DE SABORES (CONCENTRADOS PARA AGUA DE SABOR)
245,5,59.4,14.28,0.18,0.25,"JUGO DE ARANDANO, INDUSTRIALIZADO"
246,5,6.35,1.39,0.01,0.12,"JUGO DE ARROZ, PREPARACION ESTANDARIZADA"
247,5,36.13,9.05,0.05,0.77,"Jugo betabel con azúcar, natural"
248,5,20.87,5.1,0.05,0.8,"JUGO DE BETABEL, NATURAL"
249,5,84,20.5,0.1,0.3,"JUGO DE CAÑA DE AZUCAR, NATURAL"
250,5,60.42,15.24,0,0.13,"JUGO DE CIRUELA PASA, INDUSTRIALIZADO"
251,5,35.24,8.85,0,0.14,"JUGO DE FRUTA CON VERDURA, INDUSTRIALIZADO (TIPO CHISPAZO)"
252,5,46,11.15,0.01,0.3,"JUGO DE FRUTA CON VERDURA, NATURAL"
253,5,60.21,14.85,0.01,0.29,"Jugo de frutas con verduras con azúcar, natural"
254,5,50.91,12.64,0.11,0.13,"JUGO DE FRUTAS, INDUSTRIALIZADO (TIPO BOING, DEL VALLE, SONRISA Y JUMEX)"
255,5,22,6.9,0.24,0.35,"JUGO DE LIMON, NATURAL"
256,5,38.23,9.57,0,0.01,"JUGO DE MANZANA, INDUSTRIALIZADO"
257,5,52.54,14.71,0.53,0.29,"Jugo de naranja con azúcar, natural"
258,5,47.17,11.45,0.03,0.29,"JUGO DE NARANJA, INDUSTRIALIZADO"
259,5,38,11,0.55,0.3,"JUGO DE NARANJA, NATURAL"
260,5,17.94,4.03,0.2,0.53,"JUGO DE NONI, NATURAL"
261,5,43.97,11.09,0,0,"JUGO DE PIÑA, INDUSTRIALIZADO"
262,5,53,12.87,0.12,0.36,"JUGO DE PIÑA, NATURAL"
263,5,21.2,4.68,0.09,0.44,"JUGO DE TOMATE CON ALMEJA (CLAMATO), INDUSTRIALIZADO"
264,5,20.55,4.73,0,0.4,"JUGO DE TOMATE, INDUSTRIALIZADO"
265,5,53.5,12.98,0.1,0.48,"Jugo de toronja con azúcar, natural"
266,5,52.15,12.4,0.08,0.45,"JUGO DE TORONJA, INDUSTRIALIZADO"
267,5,39,9.2,0.1,0.5,"JUGO DE TORONJA, NATURAL"
268,5,54.42,13.39,0,0.07,"JUGO DE UVA, INDUSTRIALIZADO"
269,5,14.68,3.25,0,0.42,"JUGO DE VERDURAS, INDUSTRIALIZADO"
270,5,44.88,11.55,0.11,0.67,"Jugo de zanahoria con azúcar, natural"
271,5,30,7.7,0.11,0.7,"JUGO DE ZANAHORIA, NATURAL"
272,5,42.5,9.84,0.17,0.82,JUGOS NATURALES SIN AZUCAR ADICIONADA NARANJA/ZANAHORIA (PROMEDIO)
273,5,43.86,10.97,0.02,0.08,JUGOS O AGUAS DE FRUTAS CON AZUCAR ADICIONADA (PROMEDIO)
274,5,68.42,12.51,1.32,1.62,"LICUADO (TODOS SABORES), INDUSTRIALIZADO"
275,5,110.93,15.19,3.74,3.69,"LICUADO DE CEREALES (AVENA, GRANOLA), PREPARACION ESTANDARIZADA"
276,5,70.77,9.73,2.54,2.56,"LICUADO DE FRESA, PREPARACION ESTANDARIZADA"
277,5,78.08,13.35,2.11,2.33,"LICUADO DE FRUTAS, PREPARACION ESTANDARIZADA"
278,5,71.96,10.49,2.36,2.32,"LICUADO DE MAMEY, PREPARACION ESTANDARIZADA"
279,5,69.64,12.45,1.74,1.92,"LICUADO DE MANGO, PREPARACION ESTANDARIZADA"
280,5,71.43,11.76,1.91,1.91,"LICUADO DE MANZANA, PREPARACION ESTANDARIZADA"
281,5,74.78,9.85,2.77,2.76,"LICUADO DE MELON, PREPARACION ESTANDARIZADA"
282,5,123.36,10.69,7.97,3.26,"LICUADO DE NUEZ Y COCO, PREPARACION ESTANDARIZADA"
283,5,69.16,9.95,2.27,2.35,"LICUADO DE PAPAYA, PREPARACION ESTANDARIZADA"
284,5,78.08,13.35,2.11,2.33,"LICUADO DE PLATANO, PREPARACION ESTANDARIZADA"
285,5,96,21.58,0.39,3.68,"LICUADO LIGHT (TODOS SABORES), INDUSTRIALIZADO"
286,5,80.25,10.59,3.24,2.87,LICUADO PROMEDIO
287,5,66.76,10.24,1.6,2.85,"MALTEADA DE VAINILLA, INDUSTRIALIZADA"
288,5,133.9,12.55,6.25,3.01,"MALTEADA, PREPARACION ESTANDARIZADA"
289,5,35.15,9.32,0.03,0.12,"NARANJADA/LIMONADA, PREPARACION ESTANDARIZADA"
290,5,56,14.27,0.16,0.13,"NECTAR DE FRUTAS, INDUSTRIALIZADO"
291,5,386,98.94,0,0,POLVO PARA BEBIDA CON AZUCAR (TIPO TANG)
292,5,82.99,19.88,0,0,POLVO PARA BEBIDA CON EDULCORANTE (TIPO CLIGHT)
293,5,248.24,60.22,0,3.2,POLVO PARA BEBIDA SIN ENDULZANTE (TIPO CLIGHT)
294,5,406.58,85.08,7.25,1.1,POLVO PARA CAF� CAPUCHINO Y MOKA (CON AZ�CAR)
295,5,222.61,68.4,0.15,0.41,"POLVO PARA PREPARAR BEBIDA, PROMEDIO (CON AZUCAR, SIN AZUCAR Y CON EDULCORANTE)"
296,5,368,91.52,0,0.32,"POLVO PARA TE, (TIPO NESTEA, SIN AZUCAR)"
297,5,47,11.94,0,0,"PONCHE DE FRUTAS, INDUSTRIALIZADO"
298,5,46.49,11.63,0.09,0.22,"PONCHE DE FRUTAS, PREPARACION ESTANDARIZADA"
299,5,96.1,14.31,3.79,1.49,"POZOL (BEBIDA), PREPARACION ESTANDARIZADA"
300,5,44.1,11.19,0,0,"REFRESCO DE COLA (COCA-COLA, PEPSI, BIGCOLA)"
301,5,44.4,11.1,0,0,"REFRESCO DE MANZANA, INDUSTRIALIZADO"
302,5,43.49,10.85,0,0.06,"REFRESCO DE SABOR (NARANJA, TORONJA, ETC.)"
303,5,37.92,9.48,0,0,REFRESCO DE SABOR LIMON Y LIMA
304,5,0.95,0.25,0,0,"REFRESCO LIGHT (TODOS LOS SABORES, EXCEPTO COLA)"
305,5,48,12.3,0,0,REFRESCO NARANJA
306,5,41,10.42,0,0.09,REFRESCO SABOR LIMA-LIMON
307,5,43,11.2,0,0,REFRESCO SABOR UVA
308,5,7.58,1.9,0,0,"REFRESCO, DE COLA LIGHT O DE DIETA"
309,5,37.85,9.44,0,0,"REFRESCO, GINGER ALE"
310,5,5.29,1.32,0,0,"SUERO, PREPARACION ESTANDARIZADA"
311,5,0.01,0,0,0,"TE (INFUSION SIN AZUCAR), PREPARACION ESTANDARIZADA"
312,5,1,0.2,0,0,TE (PROMEDIO)
313,5,45.95,11.34,0,0,"TE ARIZONA (TODOS SABORES) FLUIDO, INDUSTRIALIZADO"
314,5,1,0.2,0,0,"TE DE MANZANILLA, INFUSION"
315,5,31.51,7.91,0,0,"TE HELADO INDUSTRIALIZADO (TIPO NESTEA, LIPTON)"
316,5,1,0.3,0,0,"TE NEGRO DESCAFEINADO, INFUSION"
317,5,1,0.3,0,0,"TE NEGRO, INFUSION"
318,5,176,44,0,0,TE O CAFE PARA ADELGAZAR
319,5,16.48,4.2,0,0,"TE O INFUSION CON AZUCAR U OTRO ENDULZANTE (MIEL, PILONCILLO, ETC, PROMEDIO)"
320,5,1,0.2,0,0,"TE OTROS SABORES EXCEPTO MANZANILLA, INFUSION"
321,5,211,0,0,0,AGUARDIENTE
322,5,295,0,0,0,AGUARDIENTE (50% ALCOHOL)
323,5,143.31,21.59,2.76,2.68,"BEBIDA ALCOHOLICA CON LECHE, (PINA COLADA, ALFONSO XIII), PREPARACION ESTANDARIZADA"
324,5,69.49,10.28,0.04,0.16,"BEBIDA ALCOHOLICA SIN LECHE (MOJITO, PALOMA, ETC), PREPARACION ESTANDARIZADA"
325,5,43,3.55,0,0.46,CERVEZA (ALCOHOL 4.5%)
326,5,29,1.64,0,0.24,CERVEZA LIGHT (ALCOHOL 4.0%)
327,5,40.78,4.75,0.03,0.53,"CERVEZA MICHELADA, PREPARACION ESTANDARIZADA"
328,5,186,6.94,0.06,0.06,"DAIQUIRI , BEBIDA ALCOHOLICA"
329,5,315,0,0,0,GINEBRA (45% ALCOHOL)
330,5,336,46.8,0.3,0.1,LICOR DE CAFE (26.5% ALCOHOL)
331,5,174,22.66,1.88,0.42,"PIÑA COLADA, BEBIDA ALCOHOLICA"
332,5,47,6.1,0,0.4,PULQUE
333,5,140.89,12.51,3.42,2.82,"ROMPOPE CASERO, PREPARACION ESTANDARIZADA"
334,5,88,8.05,4.19,4.55,"ROMPOPE, INDUSTRIALIZADO"
335,5,231,0,0,0,RON (40% ALCOHOL)
336,5,46,11.3,0.13,0.1,SIDRA (ROSADA O BLANCA)
337,5,102.42,24.32,0.37,0.7,"TEJUINO (BEBIDA DE MAIZ FERMENTADA), PREPARACION ESTANDARIZADA"
338,5,86.54,21.65,0,0,"TEPACHE (FERMENTADO DE PINA), PREPARACION ESTANDARIZADA"
339,5,231,0,0,0,TEQUILA
340,5,82.5,3.2,0,0.22,VINO BLANCO O ROSADO
341,5,85,2.61,0,0.07,VINO TINTO
342,5,231,0,0,0,VODKA (40% ALCOHOL)
343,5,250,0.1,0,0,WHISKY (43% ALCOHOL)
344,6,115,0,1.96,22.86,AVESTRUZ (PROMEDIO)
345,6,111,0,5.6,14.2,"CARNERO, CABEZA COCIDA"
346,6,287,0,25,15.6,"CARNERO, CARNE GRASOSA"
347,6,141,2.9,5,21,"CARNERO, HIGADO"
348,6,160,0,8.61,20.65,"CARNERO, MAGRA CON HUESO"
349,6,154,0,8.3,19.72,"CARNERO, MAGRA SIN HUESO"
350,6,103,0,2.1,21,"CARNERO, PATAS COCIDAS"
351,6,243,0,18.89,17.06,"CARNERO, SEMIGRASOSA"
352,6,211,0,10.5,27.69,"CERDO, CARNE COCIDA"
353,6,214,0,17.8,13.9,"CERDO, CARNE EN CANAL"
354,6,130,1,5.2,19.8,"CERDO, CARNE MAGRA (SIN GRASA NI HUESO)"
355,6,263,0,21.19,16.88,"CERDO, CARNE MOLIDA"
356,6,180,0,12.6,16.7,"CERDO, CARNE PROMEDIO"
357,6,346,0.8,21,38.4,"CERDO, CECINA"
358,6,170,0,9.03,20.71,"CERDO, CHULETA AHUMADA"
359,6,286,0,23.6,18.5,"CERDO, COSTILLA SEMIGRASOSA"
360,6,217,0,14.01,25.03,"CERDO, CUERITOS"
361,6,174,1.29,11.51,16.2,"CERDO, ESPALDILLA"
362,6,129,2.5,3.7,21.4,"CERDO, HIGADO"
363,6,258,0,18.8,22.1,"CERDO, PATAS FRESCAS"
364,6,81,0,2.7,14.1,"CERDO, PULMON"
365,6,100,0,3.25,16.46,"CERDO, RIÑONES"
366,6,204,1,13.9,18.8,"CERDO, SEMIGRASOSA"
367,6,582,0,39.27,57.1,CHICHARRON DE CERDO (CON GRASA)
368,6,106,0,0.9,24.4,IGUANA (PROMEDIO)
369,6,129,0,5.3,20.4,"RES, AGUAYON"
370,6,153,0,7.9,20.4,"RES, AGUJAS"
371,6,235,0,13.44,27.06,"RES, CARNE COCIDA"
372,6,293,0,25.4,16,"RES, CARNE GRASOSA CON HUESO"
373,6,293,0,25.4,16,"RES, CARNE GRASOSA SIN HUESO"
374,6,140,0,6.3,20.9,"RES, CARNE MAGRA (SIN GRASA NI HUESO)"
375,6,173,0,10,20.7,"RES, CARNE MOLIDA ESPECIAL"
376,6,262,0,21.2,17.9,"RES, CARNE MOLIDA REGULAR"
377,6,388,0,36.23,14.4,"RES, CARNE MUY GRASOSA (CARNE CON MUCHO TEJIDO GRASOSO)"
378,6,390,0.5,14.5,64.8,"RES, CARNE SECA"
379,6,251,0,19.8,18.3,"RES, CARNE SEMIGRASOSA (TIPO BISTEC)"
380,6,273,0,14.9,34.7,"RES, CECINA OREADA"
381,6,125,0,4.8,20.4,"RES, CHAMBARETE"
382,6,105,2.6,3.8,17,"RES, CORAZON"
383,6,95,0,3,17,"RES, CUETE"
384,6,94,0,4,14.6,"RES, ESTOMAGO E INTESTINOS CRUDOS"
385,6,105,0,1.7,22.4,"RES, FALDA"
386,6,119,0,2.5,24,"RES, FILETE"
387,6,136,5.2,3.9,20,"RES, HIGADO"
388,6,219,3.7,16.1,14.9,"RES, LENGUA"
389,6,79,1.1,2.9,12.1,"RES, PATAS"
390,6,149,0,7.3,20.7,"RES, PESCUEZO"
391,6,103,2.2,3.1,16.6,"RES, RIÑONES"
392,6,146,0,11.9,9.8,"RES, SESOS"
393,6,215,0,19,11,"RES, TRIPAS"
394,6,230,0,18.7,15.4,"RES, UBRE"
395,6,130.08,1.09,7.99,13.59,"RES, VISCERAS PROMEDIO (SESOS, ESTOMAGO E INTESTINO, HIGADO, TRIPAS, CORAZON, PESCUEZO. PONDERADO ENSANUT 2016)"
396,6,151,0,8,19.7,"TERNERA, CARNE EN CANAL"
397,6,138,0,2.2,29.5,"VENADO, CARNE ASADA"
398,6,120,0,4,21,"VENADO, CARNE MAGRA CRUDA"
399,7,165,0,5.4,29,ARMADILLO (PROMEDIO)
400,7,192,0,12.05,19.63,CODORNIZ (PROMEDIO)
401,7,154,0,8,20.4,CONEJO DE CRIANZA (PROMEDIO)
402,7,171,0,10.9,18.1,GALLINA (PROMEDIO)
403,7,366,0,33.6,15.9,GANSO DE CRIANZA (PROMEDIO)
404,7,135,0,5,21,LIEBRE (PROMEDIO)
405,7,252,0,19.8,18.5,PALOMA (PROMEDIO)
406,7,332,0,28.4,19.1,PATO (DE CRIANZA)
407,7,154,0,8,20.4,PAVO O GUAJOLOTE (PROMEDIO)
408,7,197,0,12.32,20.22,"PAVO, ALA"
409,7,157,0,7.02,21.89,"PAVO, PECHUGA CON PIEL"
410,7,166,0.15,8.97,19.81,"PAVO, PIERNA O MUSLO CON PIEL"
411,7,349,0,32.35,13.33,PIEL DE POLLO
412,7,210,0,15.1,18.6,"POLLO, PROMEDIO"
413,7,223,0,13.39,23.97,"POLLO, ASADO O FRITO CON PIEL"
414,7,111,0,2.7,20.33,"POLLO, ASADO O FRITO SIN PIEL"
415,7,285,0,18.87,26.88,"POLLO, COCIDO (CON PIEL)"
416,7,237,0,11.89,30.42,"POLLO, COCIDO (SIN PIEL)"
417,7,300,0,20.97,25.95,"POLLO, ROSTIZADO (PROMEDIO)"
418,7,254,0,16.87,23.79,"POLLO, ROSTIZADO (ALA)"
419,7,197,0,7.78,29.8,"POLLO, ROSTIZADO (PECHUGA)"
420,7,184,0,8.99,24.03,"POLLO, ROSTIZADO (PIERNA O MUSLO)"
421,7,191,0,12.85,17.52,"POLLO, ALA"
422,7,215,0,15.06,18.6,"POLLO, CADERA"
423,7,153,0.71,9.33,15.55,"POLLO, CORAZÓN"
424,7,120,3.4,3.9,18,"POLLO, HIGADO"
425,7,319,0,28.74,14.05,"POLLO, HUACAL"
426,7,94,0,2.06,17.66,"POLLO, MOLLEJAS"
427,7,214,0.17,15.95,16.37,"POLLO, PATA"
428,7,181,0,11.1,20.2,"POLLO, PECHUGA CON PIEL"
429,7,120,0,2.62,22.5,"POLLO, PECHUGA EN BISTEC (SIN HUESO Y SIN PIEL)"
430,7,120,0,2.62,22.5,"POLLO, PECHUGA SIN PIEL"
431,7,297,0,26.24,14.07,"POLLO, PESCUEZO"
432,7,237,0,18.34,16.69,"POLLO, PIERNA O MUSLO CON PIEL"
433,7,113,0,3.61,18.74,"POLLO, PIERNA O MUSLO SIN PIEL"
434,7,106.5,0.37,3.44,17.29,"POLLO, PROMEDIO DE HIGADO Y MOLLEJA"
435,8,105,6.01,0.76,17.1,ABULON
436,8,68,1.3,0.7,14,ALMEJAS SIN CONCHA
437,8,131,0,4.84,20.35,ANCHOAS
438,8,184,0,11.66,18.44,ANGUILA
439,8,200,0,10.04,25.54,ATUN AHUMADO
440,8,99.97,0.68,1.27,29.37,ATUN DRENADO EN AGUA (INDUSTRIALIZADO)
441,8,127.54,0,6.07,15.69,ATUN DRENADO PROMEDIO (INDUSTRIALIZADO)
442,8,161.8,0,4,9.96,"ATUN EN ACEITE, DRENADO"
443,8,92,0,0.36,22.12,ATUN EN AGUA (LIGHT) INDUSTRIALIZADO
444,8,144,0,4.9,23.33,ATUN FRESCO
445,8,185.51,0.14,9.68,24,ATUN Y SARDINA (PROMEDIO)
446,8,190,0.3,10.3,24,BOQUERON FRITO
447,8,82,1.5,1.1,16.4,CALAMAR FRESCO
448,8,80,2.1,1.8,13.9,CALLO DE HACHA
449,8,113,2.5,1.46,23.2,CAMARON COCIDO
450,8,90,1.5,1.5,18.1,CAMARON CRUDO
451,8,372,5,2.2,83,CAMARON SECO SALADO
452,8,93,0.5,1.9,17.3,CANGREJO
453,8,87,0.04,1.08,18.06,CANGREJO DE RIO
454,8,124,1.5,3.8,20.9,HUEVA DE PESCADO (PROMEDIO)
455,8,83,0,1.3,17.3,JAIBA COCIDA
456,8,97,1.1,1.08,17.4,JAIBA CRUDA
457,8,92,0.5,0.9,16.2,LANGOSTA CRUDA
458,8,68,0,1.12,14.6,LANGOSTINO CRUDO
459,8,136.75,1.61,2.76,25.07,MARISCOS PRECOCIDOS (COMBINACION VARIOS TIPOS)
460,8,86,3.69,2.24,11.9,MEJILLONES FRESCOS
461,8,180.9,6.83,8.72,17.01,"MEJILLONES Y OSTIONES, INDUSTRIALIZADOS"
462,8,277,21.66,16.23,11.01,NUGGETS DE PESCADO PARA PREPARAR
463,8,78,4.9,0.56,9.4,OSTIONES SIN CONCHA
464,8,68,3.91,2.47,7.06,OSTRAS ENLATADAS
465,8,51,2.72,1.71,5.71,OSTRAS FRESCAS
466,8,129.2,0.24,4.02,22.36,"PESCADO FRESCO, PROMEDIO"
467,8,112.64,0.06,3.65,19.03,"PESCADO FRESCO, PROMEDIO"
468,8,119,0,5.94,15.23,"PESCADO FRESCO, BASSA"
469,8,205,0,13.89,18.6,"PESCADO FRESCO, CABALLA"
470,8,96,0,1.7,20.08,"PESCADO FRESCO, TILAPIA"
471,8,103,0,1.93,15.91,"PESCADO FRESCO, BAGRE"
472,8,162,0,1.32,23.3,"PESCADO FRESCO, BONITO"
473,8,114,0,2.16,17.7,"PESCADO FRESCO, BOQUERON CRUDO"
474,8,147,0,0.22,33.2,"PESCADO FRESCO, BOQUILLA"
475,8,81,0,0.1,20.1,"PESCADO FRESCO, CABRILLA"
476,8,122,0,1.02,19.6,"PESCADO FRESCO, CARPA"
477,8,106,0,0.17,21.15,"PESCADO FRESCO, CAZON"
478,8,282,3.4,6.9,51.6,"PESCADO FRESCO, CHARALES"
479,8,90,0,2.98,15.1,"PESCADO FRESCO, CHERNA"
480,8,97.46,0,0.78,19.62,"PESCADO FRESCO, FILETE (TODOS LOS TIPOS)"
481,8,91,0,0.63,19.2,"PESCADO FRESCO, GUACHINANGO"
482,8,87,0,1.75,17.83,"PESCADO FRESCO, GURRUBATA"
483,8,83,0,0.2,20.3,"PESCADO FRESCO, ISABELITA"
484,8,145,0,1.36,19.9,"PESCADO FRESCO, JOROBADO"
485,8,76,0,1,16.7,"PESCADO FRESCO, LENGUADO"
486,8,112,0,9.36,19.6,"PESCADO FRESCO, LISA"
487,8,87,0,2.98,15.1,"PESCADO FRESCO, MERO"
488,8,91,0,2.7,16.8,"PESCADO FRESCO, MOJARRA"
489,8,194,0,4,15,"PESCADO FRESCO, PAMPANO"
490,8,103,0,2.59,21.1,"PESCADO FRESCO, PARGO"
491,8,89,0,1,20,"PESCADO FRESCO, ROBALO"
492,8,88,0,1.59,18.47,"PESCADO FRESCO, SARGO"
493,8,203,0,2.75,19.4,"PESCADO FRESCO, SIERRA"
494,8,163,0,1.67,18.3,"PESCADO FRESCO, TRUCHA"
495,8,304,1.25,3.13,65.56,"PESCADO SECO, PROMEDIO"
496,8,290,0,2.37,62.82,"PESCADO SECO, BACALAO"
497,8,318,2.5,3.9,68.3,"PESCADO SECO, CHARALES"
498,8,59,0,0.32,12.6,PULPO CRUDO
